,ProteinID,Average Shortest Path to all Disease genes,BetweennessCentrality,ClosenessCentrality,DegreeCentrality,EigenvectorCentrality,HarmonicCentrality,Modularity,PageRank,BP,CC,MF,FrequencyA,FrequencyC,FrequencyD,FrequencyE,FrequencyF,FrequencyG,FrequencyH,FrequencyI,FrequencyK,FrequencyL,FrequencyM,FrequencyN,FrequencyP,FrequencyQ,FrequencyR,FrequencyS,FrequencyT,FrequencyV,FrequencyW,FrequencyY,Aromaticity,Isoelectric,SSfractionHelix,SSfractionTurn,SSfractionSheet,Target
8,P52594,0.23861057896330104,-0.2051742178367601,0.3558916743096901,-0.269649435676181,-0.0910375066937122,0.6185585014771958,-0.14539836435264533,0.4189981562454857,-0.3725312182761331,-0.09863782952340107,1.137904437479402,2.226658203105324,-0.6836187970327317,-0.9774926656614714,-2.014511623305786,2.891856476459364,0.5236153522814785,-0.4417183402315081,-1.7769665997367432,-0.6002161898173153,-2.052330554366224,-0.8936672612836801,0.955921862798955,0.5339069228742465,1.2109946453914484,-1.8010179153405577,2.6591653909025093,1.991828016625952,-0.1942351400487464,-0.9633060135822162,-1.2087003230255449,0.7720053553291522,1.1057227110282533,-1.3634654090697362,2.1282868002276034,2.1282868002276034,0
1605,P11686,-0.03453178259201502,1.199685683584427,1.3703383180055029,1.4139006481300336,-0.13706632708340832,-0.05756702545863299,0.37006223174479136,-0.5375391411481641,-0.10400298832210272,-1.7658706960432151,2.511673880576182,0.7619982103878993,0.5718653408539532,-1.6190233729157415,-0.7023405430463924,-1.0609297641146156,0.5667107971533679,0.09097118362814093,0.6565379470323166,-0.8057271312603855,0.6203840951708391,2.285531828327335,-1.5120067943903823,0.521307689163144,-0.3726153433136794,-1.2958540207615814,-0.25305548813563755,-0.7051054563445399,2.6828510215937413,-1.4294992267755104,0.6574148378695179,-0.7329442676740091,-0.4673406721859372,1.1068372676176776,0.05178072021148231,0.05178072021148231,1
445,P49961,0.30520313818546513,-0.2051742178367601,-0.3304106231901337,-0.4716754457329267,-0.13803080853311772,-0.3257033771008599,0.3698185178714427,-0.4666452704545169,-0.5805530081248634,1.1076045057294368,-0.7871988492036597,-0.6917107894983267,0.05428662415760037,-0.9959137139759674,-0.3648991297865764,1.9236752456851425,0.02002076000161413,-0.2586744396838282,1.044014283867237,-0.07242912584953483,0.015987776655496562,0.04588129421213443,0.3391405896378993,-0.6683021965963954,0.5215513588490136,-1.526375788344266,-0.2716458035821819,0.6737161397211848,0.2557201298803495,0.6254073286333619,2.065093364418669,2.3654218570021857,-0.6209741196297778,1.5986929018131766,-0.4077670351382564,-0.4077670351382564,0
551,Q9ULX3,-0.011393689980923835,-0.17835545427979801,0.3624404290879739,0.20174458778955912,-0.1428259711435376,0.4545976572318642,0.12565704736038014,0.19674060454529216,1.1620263302791654,-0.9151351071587162,-0.8407411986640516,-0.7516592599620073,-0.21231883175079366,0.4471365354706516,0.22073948261849508,0.4128987050124339,-0.38728121563430906,0.8797544796977149,-0.16106682865461364,0.011985089342672936,-0.13302832051242489,-0.6151329846035767,0.17209535942354284,0.16039468853588185,-0.06963615929351694,0.5575213457729222,-0.27942372985669184,0.16892112716314636,0.7255632508263835,-0.7935754747982501,-0.2531960359802018,-0.13608623843850404,-0.1514574527743145,0.05719565635600224,-0.19803632261917886,-0.19803632261917886,0
1301,P49753,1.103185161406989,-0.16145967662053895,0.5331707456548236,-0.06762342561943539,-0.123281195551166,-0.1562927750094993,-0.14539836435264533,-0.29132619305060137,1.5490838200634407,-0.017638997604283342,0.6719475688162664,0.5035162590906258,-0.3577553251438293,-1.0020377182071094,-0.22726774591041896,0.13194882448626322,1.0934221286284804,0.8013988330249683,-0.5013065706833587,-0.7014443879499902,1.0264261505489027,-0.2397352979851085,-1.121381164389489,0.7483585670342312,-0.8981716318395453,0.5577545859974572,-0.9237309470508174,-1.0750056874959035,0.7051832420080472,0.19783360437126768,0.29538337040207524,0.2887467477070614,1.0331411298689483,0.7246266631105,0.22249729565067933,0.22249729565067933,0
2027,Q9H1H9,0.5789098434630023,-0.07509099700674718,0.7232154370876188,0.33642859449405604,-0.13260910454709735,0.8544539793590501,-0.14546316358242672,-0.2540330827938597,-0.3075225258006964,-0.8128991578612315,0.06469869166031121,-0.4067816098492866,-0.2661140492320472,0.1634824277839168,0.7777852519220597,-0.5797528901105418,-0.5697057536945874,-0.15355796149220344,0.041615255420730635,0.0339789388347621,-0.2506909992490436,-0.6525138861926053,0.6425442058700838,-0.4670626552792213,-0.016003134006216054,-0.1123547873886598,0.8189259564432719,0.07867516156453835,0.9042818145836836,0.09460390400212318,-0.2447145829973157,-0.432671932880401,-0.9207930051832044,-0.013151446304845452,0.02216800105139808,0.02216800105139808,1
1628,P06858,0.5117529405186171,-0.2051742178367601,0.9691650375732612,0.1344025844373104,-0.13747134532104524,0.7503494502522632,0.37006223174479136,-0.3867707031390011,-0.7783145798370422,-1.1037235961235572,-1.181747801200997,-0.026933773393150368,0.024239176998650188,-0.30314379322827645,-0.3436946773424983,0.6202425068097696,0.046385004143326115,0.8525711349808072,0.4766990890443205,0.3964375784643892,-0.6070765583347311,-0.8429254023595579,0.4054011495046981,-0.6367025991994838,-1.1010325250322908,-0.5597793679727228,0.5041818740731344,0.11653803104175475,0.7758911462872439,1.052611586205208,0.6781544908019742,1.0353748543076184,0.8387626901847738,0.6202375383159601,0.022168001051397008,0.022168001051397008,1
2306,Q16787,1.1810645950735852,-0.2051742178367601,-0.8893519333497935,-0.4716754457329267,-0.11453680556075845,-4.172541185597375,-0.14546316358242672,-0.2914149223544953,-0.44591869462194383,-0.4525615434392693,0.856187746798805,-0.3327767590378348,1.6286592645772573,-0.08382982458116144,-0.6464764729979544,-0.06240184062021124,0.6039021525370201,0.37733493684889136,-0.2540817489019501,-0.61325568568639,-0.2424653991176013,-0.9981453511821236,0.9761074138159734,-0.07871798917912967,0.0012340987233844134,0.04778522694352162,-0.006286201863891979,0.1899236106465606,0.19201792185394287,-0.44689876992495786,0.16171996900462654,-0.09429648873583013,0.03430466238591856,-0.1926008462380988,0.5213618476852973,0.5213618476852973,1
2207,O14901,0.09357424235231626,0.11632388723571288,-4.301625508643998,-0.33699143902842965,0.16019951437652982,0.2350334805557109,-0.2675920920539425,-0.4848729814692772,0.6485521335029081,0.5844486269701612,1.3654350799492654,0.38971527287225866,1.0729889811183828,0.1002979945807442,-1.266318441694214,-0.5659035114173918,-0.2832710329567589,0.629304482575338,-0.9418150281129476,-0.6489739992260548,-0.2256158669620941,0.036590291111968216,-1.3443780362486168,1.4526150521257473,-0.13535684324336025,0.10074041010350306,0.7056211183575963,1.725340229238713,0.5805467505784057,-0.4060594384371069,-1.7420843550626273,-1.3409246843748273,0.883523765889657,-0.8925716114752527,0.6582650839632295,0.6582650839632295,1
326,O94864,0.20136389329666748,-0.174369560813139,-0.5394204217527437,-0.4043334423806781,-0.1424504266035677,0.7133575862473115,0.030470253306802326,0.8836812391825895,-0.627773740608192,0.04628118509065235,-0.5046304485225328,-0.5693723588547788,-0.21709843482004812,0.1257997276949663,0.6655598621750888,-0.11071648112543993,-0.6696525831257937,0.8646979044547168,-0.17224841642081656,-0.7014443879499902,-0.15029485781520788,0.10907806892244463,-0.01360886433897131,0.8892373794455833,0.7154037351141809,-0.5793692553507301,1.2111844390874111,-0.8391793265353256,-0.1344731213074318,-0.16379591366134966,-0.6533203733760645,-0.4472731370723819,-1.1712505739723549,-0.3976638246497341,0.7500449875961198,0.7500449875961198,0
