,ProteinID,Average Shortest Path to all Disease genes,BetweennessCentrality,ClosenessCentrality,DegreeCentrality,EigenvectorCentrality,HarmonicCentrality,Local Clustering Coefficient,Modularity,PageRank
0,Q9H221,,,,,,,,,
1,P45381,,,,,,,,,
2,O15409,2.63614237906906,0.0,0.26205856384505544,0.0030573248407643307,1.870206399970889e-06,1554.753174603309,1554.753174603309,-0.00011038818817453584,0.00021979228688261961
3,P00748,2.4682080924855487,1.4556344226968642e-06,0.27790156900926744,0.0035668789808917197,0.0006164936352682139,2202.2265873015467,2202.2265873015467,0.0007720325748348688,5.1668949924240824e-05
4,P05093,,,,,,,,,
5,P01034,,,,,,,,,
6,P09622,3.0389412838454515,0.001338244540478845,0.1593163386233335,0.00025477707006369424,0.0002550103619873331,1503.9202741704096,1503.9202741704096,-0.0002521684392975371,6.372261778774552e-05
7,Q03692,,,,,,,,,
8,Q9UGJ0,2.551262549437177,0.0,0.18984963835949256,0.0003821656050955413,2.049862988128589e-05,2080.9198773448466,2080.9198773448466,-0.0007091905833841193,6.02160612497405e-05
9,Q9Y6Q6,2.3948889564952847,6.964622989254799e-06,0.2276314214532708,0.00025477707006369424,5.86193584090837e-48,1663.099639249747,1663.099639249747,0.0004884142070350462,3.4410430512831463e-05
10,P15848,,,,,,,,,
11,Q02962,2.836020687557043,0.0,0.2413072422431423,0.0006369426751592356,0.00017764718605989954,1642.798448773559,1642.798448773559,0.0004569257014968831,0.00037153022343383883
12,O00300,,,,,,,,,
13,P48436,2.369333738971706,7.934800929004387e-05,0.25123798874508185,0.001019108280254777,0.00028784928868536323,1893.3043650793954,1893.3043650793954,0.0004884142070350347,7.986864042585798e-05
14,P12111,,,,,,,,,
15,P39060,,,,,,,,,
16,P25942,2.2515972010952234,0.0,0.25905680043443113,0.0019108280254777066,5.4832923699783945e-05,2080.075793650766,2080.075793650766,0.0014666892599506812,3.086113391601813e-05
17,Q92736,2.573167021600244,0.0,0.1507087941343445,0.00012738853503184712,0.0005334366283655988,1968.5873015873017,1968.5873015873017,0.0006302137466760032,0.0001339730434428272
18,Q9H3D4,2.0860967447520538,4.539063240816265e-05,0.19477485223324886,0.00025477707006369424,8.425696764716373e-06,1778.2750360751074,1778.2750360751074,0.0009004555272839312,0.0001271613173270104
19,Q13286,2.372376026772133,3.445921389475243e-05,0.2157640638386108,0.00012738853503184712,1.2524247028267795e-05,1746.6329725830572,1746.6329725830572,0.00044318263246415383,4.726261974318208e-05
20,P02649,2.39671432917554,0.0,0.2351768925169935,0.0006369426751592356,0.0008983780595195113,2105.015079365045,2105.015079365045,6.313131921986708e-05,0.00011288530898920139
21,Q9NZJ4,,,,,,,,,
22,P19438,2.0602372984484334,8.41287063041988e-05,0.2423015855851694,0.0008917197452229297,0.0004961885510129555,1134.6482073481488,1134.6482073481488,0.002830223525954641,3.64979194643166e-05
23,P06737,2.6276239732278674,5.590503272251475e-05,0.2197112034054557,0.00012738853503184712,2.016701538346485e-07,1684.5742424243458,1684.5742424243458,-0.00014187669371270374,3.286427621169978e-05
24,Q6ISB3,3.1003954974140555,5.457595389614573e-06,0.25032246700698546,0.00012738853503184712,0.0003534901300582288,1707.1464285715294,1707.1464285715294,-0.00014187669371270374,4.8426234972808064e-05
25,Q03519,3.127471858837846,2.984427196488757e-06,0.16128096280173154,0.00012738853503184712,0.006577306702930899,1739.9801948052768,1739.9801948052768,0.0004569257014968808,0.00023625743230924404
26,Q92574,2.2704593854578645,2.2903181488754307e-05,0.16893559030835262,0.0003821656050955413,1.3817307000303527e-05,2375.6825396825197,2375.6825396825197,-0.0006773934615589022,0.00012417041616590125
27,P82251,,,,,,,,,
28,P00813,2.9330696683906297,5.617890131366104e-05,0.1978844119837959,0.00025477707006369424,2.778446839817424e-06,1844.3761904762414,1844.3761904762414,-0.00014187669371270374,0.00012317704978374609
29,P35247,0.000304228780042592,1.3508760962657014e-05,0.22830310913887605,0.00025477707006369424,6.054874019037552e-05,2042.5274170273997,2042.5274170273997,-0.00014187669371270374,6.252366314261802e-05
30,P32245,0.000912686340127776,0.002544295903086831,0.2799443402927374,0.0019108280254777066,0.0002070672524942777,1412.3766594517679,1412.3766594517679,0.00031506829630211576,6.223193880059493e-05
31,P51587,2.1405536963796776,4.874453018387491e-05,0.18408221089248705,0.00012738853503184712,1.682327728585511e-05,1444.7178932180152,1444.7178932180152,0.004875442948759136,0.0001165424989078904
32,P33076,2.3191359902646793,0.0,0.27139602698098864,0.001019108280254777,1.3648308017777887e-43,2216.865873015834,2216.865873015834,0.0014024777837261444,9.338477998452841e-05
33,P15918,2.360511104350472,1.420050096858546e-05,0.2812834793435427,0.0029299363057324838,1.4699652287350394e-05,1635.870670995788,1635.870670995788,-0.0003939294019026005,0.00022724596093890844
34,P28358,,,,,,,,,
35,P32929,,,,,,,,,
36,P82279,,,,,,,,,
37,P05177,3.1591116519622755,4.377110741841005e-06,0.27619940623501105,0.0070063694267515925,0.0006522554199563268,2191.1198773448386,2191.1198773448386,0.00045692570149687833,6.419968887269027e-05
38,P08069,2.0854882871919678,2.8637429228151537e-05,0.21390543620063196,0.00012738853503184712,0.00032562325619055963,2038.5218614718547,2038.5218614718547,0.0025553525010408385,5.018808584739406e-05
39,P01024,3.463948889564953,3.798037118461069e-05,0.00012738853503184712,0.00012738853503184712,0.00016162939185448977,2038.3956349206155,2038.3956349206155,0.0007720325748348586,3.396294539810234e-05
40,Q92887,2.5430483723760267,0.0,0.22113236254779367,0.00025477707006369424,1.4268773523049662e-06,1901.6650793651056,1901.6650793651056,0.0004569257014968832,9.209859935042676e-05
41,P12821,2.4174018862184363,0.0,0.2231057398308124,0.00012738853503184712,1.1220390800043182e-05,1158.0403679653173,1158.0403679653173,0.0006302137466759981,3.0861145412795264e-05
42,P48788,2.750228171585032,0.0,0.23714972571227055,0.0007643312101910827,1.1836097361044724e-05,1959.0654761904827,1959.0654761904827,-0.00014187669371270374,3.445739719853178e-05
43,Q9H251,3.6032856708244596,0.0,0.27753430745831875,0.002675159235668789,2.0432735466953462e-05,2257.845634920599,2257.845634920599,0.0004569257014968842,0.0005889344627375251
44,Q96DT5,2.6808640097353207,0.0033875295031970468,0.2547912714477993,0.0007643312101910827,2.854295028811945e-05,2575.7075396825658,2575.7075396825658,-0.00014187669371270374,9.683335387213819e-05
45,Q12840,2.7855187100699728,0.0,0.2963319867249683,0.006878980891719746,9.074476139782158e-07,1929.8738455988641,1929.8738455988641,0.0006302137466759993,0.0001123855114641392
46,P08F94,,,,,,,,,
47,Q04721,2.4974140553696382,1.2664811729933506e-05,0.1962832429493982,0.00012738853503184712,0.0003554501771755755,2255.801587301547,2255.801587301547,0.001087216602244605,0.00025247869756449184
48,P06681,0.000912686340127776,1.2163485081055624e-06,0.25032246700698546,0.00012738853503184712,0.00011510053173218894,1931.151984127,1931.151984127,0.0004569257014968803,4.308478126410331e-05
49,P10071,2.3182233039245514,0.0,0.3139374962083507,0.010700636942675158,0.0005289875718727212,1.0,1.0,0.0017178161192794186,4.4829109762121207e-05
50,O96017,2.108913903255248,0.00025443098431062903,0.2416960507292136,0.00012738853503184712,0.0008121067038369177,2134.0349206348833,2134.0349206348833,0.002056339253397426,7.216200616340134e-05
51,P20711,,,,,,,,,
52,P41235,2.202920596288409,0.0003508104715541275,0.2185288716731415,0.00012738853503184712,0.00018711579630042137,1851.5877344877827,1851.5877344877827,0.0010419850276737444,5.6747982508463304e-05
53,P20908,3.139336781259507,0.0004916834756995409,0.19175650514534226,0.00012738853503184712,0.0003482628647669044,2368.01230158728,2368.01230158728,-0.00014187669371270374,5.960160038546792e-05
54,P01031,0.000912686340127776,0.0,0.19844002696344806,0.00012738853503184712,0.00024363221108404125,2061.6762265512093,2061.6762265512093,0.0004569257014968793,8.679021456191297e-05
55,Q96CV9,2.2010952236081534,0.00014494102456584236,0.19538061134306525,0.00012738853503184712,2.0131115383004906e-05,1992.2837662337665,1992.2837662337665,-0.0012873156873612793,2.8782503231020666e-05
56,O15013,,,,,,,,,
57,P11161,2.4189230301186493,3.7964250200827e-05,0.2131177650475837,0.00025477707006369424,3.5958874811600752e-06,1728.6778138529064,1728.6778138529064,-0.0002837340989074668,3.3976221268647544e-05
58,P19526,,,,,,,,,
59,P42771,2.04107088530575,0.00014620348890753977,0.2401325949467841,0.00025477707006369424,4.863637599976838e-06,2194.835317460273,2194.835317460273,0.0008903483438830336,0.000283761110878558
60,Q8N726,,,,,,,,,
61,P57679,,,,,,,,,
62,P01130,2.47885609978704,0.0,0.21276612628744612,0.0008917197452229297,5.683940788231121e-05,1779.9694444445215,1779.9694444445215,-0.0005673910437431709,0.00016761485179478912
63,P13647,3.1399452388195925,0.00025317872279778523,0.256337399690525,0.0005095541401273885,0.0006209175878488933,2137.2694444444023,2137.2694444444023,-0.00014187669371270374,8.062621921554236e-05
64,P37840,2.0085184058411927,0.0,0.21491238848940425,0.0005095541401273885,1.7109886097789637e-05,2030.1932900432794,2030.1932900432794,0.0009613011571278359,0.0006888196563710082
65,P07602,,,,,,,,,
66,P02452,2.6623060541527233,0.0,0.28918513588252404,0.0047133757961783426,0.002967843631333828,1700.0063852814856,1700.0063852814856,3.141135146640965e-05,9.794751906022342e-05
67,P58335,,,,,,,,,
68,P24043,,,,,,,,,
69,P10523,,,,,,,,,
70,P07942,3.0474596896866433,0.011841525277289124,0.255473170856978,0.00025477707006369424,0.0015817636608105887,1858.0861111111603,1858.0861111111603,0.0009138706915117012,5.275050160970529e-05
71,P30038,,,,,,,,,
72,Q13753,,,,,,,,,
73,P42224,2.0182537268025555,1.3167615669746644e-05,0.24665990800785645,0.001019108280254777,3.3407399404506735e-05,2082.7015873015525,2082.7015873015525,0.005011889924671635,0.0005721047215564611
74,Q96RQ3,3.311834499543657,1.9442596226910448e-05,0.2536219798739214,0.0003821656050955413,9.282829843271832e-07,1757.6416666667483,1757.6416666667483,0.00045692570149688094,0.00012883814981751442
