Q9UBE0,0.069364162,0,0.023121387,0.072254335,0.089595376,0.052023121,0.075144509,0.014450867,0.040462428,0,0.080924855,0.095375723,0.01734104,0.028901734,0,0.037572254,0.037572254,0.049132948,0.057803468,0.046242775,0,0.089595376,0.005780347,0,0.01734104,0,0.075144509,"(0.3005780346820809, 0.1994219653179191, 0.27167630057803466)"
P55286,0.061326658,0,0.007509387,0.08135169,0.07008761,0.03379224,0.065081352,0.017521902,0.08135169,0,0.043804756,0.091364205,0.016270338,0.055068836,0,0.065081352,0.03379224,0.040050063,0.071339174,0.060075094,0,0.067584481,0.008760951,0,0.028785982,0,0.071339174,"(0.311639549436796, 0.2565707133917397, 0.2390488110137672)"
Q9UKN1,0.056407448,0,0.002920774,0.020080321,0.059875867,0.029025192,0.07082877,0.040160643,0.013873677,0,0.010770354,0.054581964,0.007119387,0.007301935,0,0.090178897,0.019350128,0.027929901,0.226359985,0.219240599,0,0.029755385,0.003103322,0,0.011135451,0,0.043263965,"(0.14147499087258125, 0.3946695874406718, 0.17798466593647316)"
Q9ULB4,0.055766793,0,0.007604563,0.098859316,0.058301648,0.039290241,0.062103929,0.019011407,0.0747782,0,0.055766793,0.077313054,0.024081115,0.053231939,0,0.050697085,0.036755387,0.045627376,0.062103929,0.073510773,0,0.058301648,0.007604563,0,0.039290241,0,0.086185044,"(0.2965779467680608, 0.22813688212927757, 0.21546261089987326)"
Q9Y625,0.066666667,0,0.032432432,0.054054054,0.077477477,0.045045045,0.052252252,0.010810811,0.03963964,0,0.048648649,0.095495495,0.034234234,0.055855856,0,0.052252252,0.041441441,0.061261261,0.066666667,0.059459459,0,0.064864865,0.010810811,0,0.030630631,0,0.086486486,"(0.28648648648648645, 0.22702702702702704, 0.27387387387387385)"
Q9Y2U2,0.149837134,0,0.022801303,0.016286645,0.039087948,0.03257329,0.104234528,0.026058632,0.013029316,0,0.006514658,0.208469055,0.016286645,0.003257329,0,0.071661238,0.039087948,0.045602606,0.068403909,0.039087948,0,0.061889251,0.016286645,0,0.019543974,0,0.068403909,"(0.35179153094462545, 0.24755700325732902, 0.41368078175895767)"
Q9Y6N8,0.055837563,0,0.008883249,0.081218274,0.068527919,0.043147208,0.062182741,0.017766497,0.079949239,0,0.039340102,0.079949239,0.013959391,0.04822335,0,0.055837563,0.03680203,0.062182741,0.067258883,0.074873096,0,0.063451777,0.006345178,0,0.034263959,0,0.083756345,"(0.30710659898477155, 0.23350253807106597, 0.2182741116751269)"
P55287,0.072864322,0,0.010050251,0.086683417,0.069095477,0.038944724,0.07160804,0.023869347,0.07160804,0,0.048994975,0.064070352,0.013819095,0.051507538,0,0.065326633,0.032663317,0.046482412,0.056532663,0.061557789,0,0.074120603,0.005025126,0,0.035175879,0,0.079145729,"(0.2889447236180904, 0.2449748743718593, 0.2198492462311558)"
P00813,0.085399449,0,0.013774105,0.05785124,0.082644628,0.027548209,0.066115702,0.03030303,0.046831956,0,0.066115702,0.099173554,0.024793388,0.035812672,0,0.05785124,0.041322314,0.046831956,0.046831956,0.046831956,0,0.068870523,0.011019284,0,0.044077135,0,0.082644628,"(0.2975206611570248, 0.2066115702479339, 0.29201101928374656)"
O95267,0.060225847,0,0.026348808,0.048933501,0.070263488,0.037641154,0.042659975,0.032622334,0.047678795,0,0.076537014,0.110414053,0.025094103,0.040150565,0,0.055207026,0.04391468,0.048933501,0.08782936,0.04642409,0,0.057716437,0.010037641,0,0.031367629,0,0.079046424,"(0.2948557089084065, 0.22584692597239647, 0.2659974905897114)"
P55290,0.058906031,0,0.011220196,0.079943899,0.050490884,0.037868163,0.056100982,0.016830295,0.060308555,0,0.047685835,0.091164095,0.018232819,0.058906031,0,0.072931276,0.036465638,0.039270687,0.060308555,0.079943899,0,0.096774194,0.004207574,0,0.022440393,0,0.064516129,"(0.3127629733520336, 0.2482468443197756, 0.2187938288920056)"
Q99996,0.046583056,0,0.010238034,0.043511646,0.153058613,0.022267725,0.031226005,0.019708216,0.049654466,0,0.08651139,0.121064756,0.023291528,0.039416432,0,0.01484515,0.09546967,0.050166368,0.078065012,0.05067827,0,0.045559253,0.003583312,0,0.015101101,0,0.040952137,"(0.25723061172254924, 0.16355259790120297, 0.3439979523931405)"
