,ProteinID,FrequencyA,FrequencyB,FrequencyC,FrequencyD,FrequencyE,FrequencyF,FrequencyG,FrequencyH,FrequencyI,FrequencyJ,FrequencyK,FrequencyL,FrequencyM,FrequencyN,FrequencyO,FrequencyP,FrequencyQ,FrequencyR,FrequencyS,FrequencyT,FrequencyU,FrequencyV,FrequencyW,FrequencyX,FrequencyY,FrequencyZ,Aromaticity,Isoelectric,SSfraction,Target,Average Shortest Path to all Disease genes,Local Clustering Coefficient,DegreeCentrality,ClosenessCentrality,BetweennessCentrality,EigenvectorCentrality,PageRank,HarmonicCentrality,Modularity
0,O15409,0.06013986013986014,0,0.009790209790209793,0.030769230769230767,0.05734265734265735,0.013986013986013986,0.04195804195804196,0.033566433566433566,0.03776223776223776,0,0.03496503496503497,0.1006993006993007,0.02657342657342657,0.04195804195804196,0,0.061538461538461535,0.17762237762237762,0.03636363636363636,0.1062937062937063,0.05594405594405594,0,0.05174825174825175,0.006993006993006993,0,0.013986013986013986,0,0.03496503496503497,6.06146240234375,"(0.22517482517482518, 0.2517482517482518, 0.2447552447552448)",1,2.63614237906906,0.16666666666666666,0.0030573248407643307,0.26205856384505544,0.0,1.870206399970889e-06,0.00021979228688261961,1554.753174603309,-0.00011038818817453584
1,P00748,0.08617886178861789,0,0.06504065040650407,0.03577235772357724,0.05203252032520325,0.026016260162601626,0.07967479674796749,0.043902439024390234,0.014634146341463415,0,0.030894308943089432,0.0991869918699187,0.008130081300813009,0.02113821138211382,0,0.0910569105691057,0.06016260162601626,0.06504065040650407,0.061788617886178863,0.05691056910569105,0,0.05040650406504065,0.02113821138211382,0,0.030894308943089432,0,0.07804878048780488,8.03570556640625,"(0.24227642276422764, 0.25365853658536586, 0.24552845528455286)",1,2.4682080924855487,0.0,0.00356687898089172,0.27790156900926744,1.4556344226968642e-06,0.0006164936352682139,5.1668949924240824e-05,2202.2265873015467,0.0007720325748348688
2,P09622,0.09430255402750493,0,0.019646365422396856,0.04322200392927309,0.06090373280943025,0.03143418467583497,0.11394891944990175,0.0275049115913556,0.07465618860510806,0,0.07465618860510806,0.07072691552062868,0.021611001964636545,0.0412573673870334,0,0.033398821218074665,0.029469548133595286,0.033398821218074665,0.0550098231827112,0.05893909626719057,0,0.08840864440078586,0.005893909626719057,0,0.021611001964636545,0,0.05893909626719057,7.95281982421875,"(0.2927308447937132, 0.24361493123772102, 0.2475442043222004)",1,3.0389412838454515,0.4,0.00025477707006369424,0.1593163386233335,0.001338244540478845,0.0002550103619873331,6.372261778774552e-05,1503.9202741704096,-0.0002521684392975371
3,Q9UGJ0,0.06502636203866433,0,0.005272407732864675,0.043936731107205626,0.05799648506151143,0.050966608084358524,0.05272407732864675,0.02460456942003515,0.061511423550087874,0,0.07205623901581723,0.07908611599297012,0.02284710017574693,0.029876977152899824,0,0.08260105448154657,0.03163444639718805,0.054481546572934976,0.1195079086115993,0.050966608084358524,0,0.0632688927943761,0.0035149384885764497,0,0.0281195079086116,0,0.08260105448154657,9.37042236328125,"(0.28646748681898065, 0.28471001757469244, 0.22495606326889278)",1,2.551262549437177,1.5,0.0003821656050955413,0.18984963835949256,0.0,2.049862988128589e-05,6.02160612497405e-05,2080.9198773448466,-0.0007091905833841193
4,Q9Y6Q6,0.08116883116883117,0,0.06168831168831169,0.048701298701298704,0.07467532467532467,0.025974025974025976,0.09415584415584416,0.01948051948051948,0.016233766233766232,0,0.040584415584415584,0.07954545454545454,0.016233766233766232,0.032467532467532464,0,0.08441558441558443,0.040584415584415584,0.05194805194805195,0.08928571428571429,0.06006493506493505,0,0.048701298701298704,0.012987012987012988,0,0.021103896103896104,0,0.06006493506493505,5.21038818359375,"(0.20454545454545453, 0.3003246753246753, 0.25162337662337664)",1,2.3948889564952847,1.3333333333333333,0.00025477707006369424,0.2276314214532708,6.964622989254799e-06,5.86193584090837e-48,3.4410430512831463e-05,1663.099639249747,0.0004884142070350462
5,Q02962,0.07434052757793765,0,0.009592326139088728,0.05035971223021583,0.04316546762589928,0.02158273381294964,0.09832134292565947,0.03357314148681055,0.0407673860911271,0,0.03357314148681055,0.05755395683453238,0.014388489208633094,0.03597122302158273,0,0.09592326139088728,0.03836930455635491,0.059952038369304565,0.10311750599520383,0.059952038369304565,0,0.0815347721822542,0.007194244604316547,0,0.0407673860911271,0,0.0695443645083933,7.24603271484375,"(0.24940047961630699, 0.33333333333333337, 0.1894484412470024)",1,2.836020687557043,0.0,0.0006369426751592356,0.2413072422431423,0.0,0.00017764718605989954,0.00037153022343383883,1642.798448773559,0.0004569257014968831
6,P48436,0.07072691552062868,0,0.003929273084479371,0.04322200392927309,0.06090373280943025,0.021611001964636545,0.05893909626719057,0.0412573673870334,0.025540275049115914,0,0.04911591355599214,0.04911591355599214,0.021611001964636545,0.03143418467583497,0,0.137524557956778,0.08840864440078586,0.0412573673870334,0.10019646365422397,0.06679764243614933,0,0.0412573673870334,0.009823182711198428,0,0.03732809430255403,0,0.06876227897838899,6.31439208984375,"(0.18467583497053047, 0.3280943025540275, 0.2023575638506876)",1,2.369333738971706,0.16666666666666666,0.001019108280254777,0.25123798874508185,7.934800929004387e-05,0.00028784928868536323,7.986864042585798e-05,1893.3043650793954,0.0004884142070350347
7,P25942,0.04332129963898917,0,0.08303249097472924,0.03971119133574008,0.07942238267148015,0.036101083032490974,0.05776173285198556,0.032490974729241874,0.04332129963898917,0,0.05415162454873646,0.07942238267148015,0.0036101083032490976,0.02888086642599278,0,0.07581227436823104,0.06859205776173287,0.032490974729241874,0.06137184115523465,0.07942238267148015,0,0.07942238267148015,0.01444043321299639,0,0.007220216606498195,0,0.05776173285198556,5.48968505859375,"(0.259927797833935, 0.223826714801444, 0.20577617328519854)",1,2.2515972010952234,0.3516483516483517,0.0019108280254777066,0.25905680043443113,0.0,5.4832923699783945e-05,3.086113391601813e-05,2080.075793650766,0.0014666892599506812
8,Q92736,0.06120394604388967,0,0.018119589289309443,0.05677471310650292,0.08254479565129857,0.04570163076303604,0.06140527481377089,0.029192671632776324,0.04751358969196698,0,0.06382122005234549,0.1117374672840749,0.03180994564123213,0.03865512381719348,0,0.038051137507549834,0.04006442520636199,0.051540165089591305,0.07106905576806925,0.04469498691362996,0,0.06140527481377089,0.011475739883229313,0,0.03321924703040065,0,0.090396617676666,5.72930908203125,"(0.31105294946647877, 0.20918059190658345, 0.2872961546204953)",1,2.573167021600244,0.3333333333333333,0.00012738853503184712,0.1507087941343445,0.0,0.0005334366283655988,0.0001339730434428272,1968.5873015873017,0.0006302137466760033
9,Q9H3D4,0.04264705882352941,0,0.023529411764705882,0.05147058823529412,0.05441176470588235,0.033823529411764704,0.04411764705882353,0.02794117647058824,0.055882352941176466,0,0.036764705882352935,0.06764705882352941,0.035294117647058816,0.04264705882352941,0,0.08823529411764706,0.075,0.055882352941176466,0.10441176470588236,0.075,0,0.04264705882352941,0.008823529411764706,0,0.033823529411764704,0,0.07647058823529412,6.11614990234375,"(0.24264705882352938, 0.27941176470588236, 0.2)",1,2.0860967447520538,0.2222222222222222,0.00025477707006369424,0.19477485223324886,4.539063240816265e-05,8.425696764716373e-06,0.0001271613173270104,1778.2750360751074,0.0009004555272839312
